商店(shop),餐點性質(type),餐次規則(meal),食物名稱(name),熱量(calories),價格(price),食物六大類(category),食物無片(image)
7-ELEVEN,主餐,"午餐,晚餐",豆酥烤魚鮮蔬餐盒,418,99,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/5_foreigndishes/images/ForeignDishes_470.png
7-ELEVEN,主餐,"午餐,晚餐",歐姆蛋包飯,498,89,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/5_foreigndishes/images/ForeignDishes_469.png
7-ELEVEN,主餐,"午餐,晚餐",牛角-霜降牛燒肉便當,596,99,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/5_foreigndishes/images/ForeignDishes_472.png
7-ELEVEN,主餐,"午餐,晚餐",一鍋燒-滑蛋嫩雞親子丼,613,89,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/5_foreigndishes/images/ForeignDishes_463.png
7-ELEVEN,副餐,"午餐,晚餐",21Plus主廚烤雞時蔬餐,432,99,"全穀雜糧類,豆魚蛋肉類,蔬菜類",https://www.7-11.com.tw/freshfoods/5_foreigndishes/images/ForeignDishes_456.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-滑蛋牛肉燴飯,589,89,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_316.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-香腸雙拼便當,798,89,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/3_Cuisine/images/cuisine_281.png
7-ELEVEN,主餐,"午餐,晚餐",極饗-豪華雞絲涼麵,583,79,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_184.png
7-ELEVEN,主餐,"午餐,晚餐",府城鹽水風味意麵,552,79,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/6_Noodles/images/Noodles_193.png
7-ELEVEN,副餐,"午餐,晚餐",御料小館美式紐奧良風味烤雞翅,191,49,豆魚蛋肉類,https://www.7-11.com.tw/freshfoods/13_luwei/images/luwei_166.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",御料小館招牌水餃,376,45,"全穀雜糧類,豆魚蛋肉類",https://www.7-11.com.tw/freshfoods/13_luwei/images/luwei_165.png
7-ELEVEN,副餐,"早餐,午餐,晚餐",萬歲牌蜜脆雙果,180,40,油脂與堅果種子類,https://cdn-next.cybassets.com/media/W1siZiIsIjI1MjM5L3Byb2R1Y3RzLzQwOTYxMzUyLzE2ODYyNzEyNjNfOWRmYjNiZTAxNDIxNjJlMDcwNmQuanBlZyJdLFsicCIsInRodW1iIiwiNjAweDYwMCJdXQ.jpeg?sha=9c97f1faeb520d8b
